Country,City,Longitude,Latitude,Temperature(F),Humidity(%),Cloudiness(%),Wind_Speed(mph)
MR,Adrar,-10.07,20.5,91.92,18,0,8.72
SB,Buala,159.59,-8.14,85.23,63,47,5.39
CA,Medicine Hat,-110.67,50.05,63.63,31,40,17.22
BR,São Geraldo do Araguaia,-48.55,-6.4,78.39,71,42,1.83
RU,Leshukonskoye,45.76,64.9,44.08,96,51,4.79
US,Hopewell,-77.29,37.3,73.0,92,100,10.11
CN,Ürümqi,87.6,43.8,44.6,42,0,8.95
LA,Pakxan,103.66,18.38,76.69,92,98,2.19
GE,Sukhumi,41.02,43.0,70.12,48,79,3.71
RU,Morozovsk,41.83,48.35,55.11,44,100,17.2
NG,Yenagoa,6.26,4.92,74.82,93,100,3.4
MT,Marsaxlokk,14.54,35.84,67.78,88,20,5.82
BF,Ouahigouya,-2.42,13.58,84.54,49,85,8.08
RU,Mokhsogollokh,128.92,61.47,37.02,77,49,5.03
RU,Dudinka,86.18,69.41,32.0,94,100,13.42
GB,Northam,-4.22,51.03,51.01,93,71,7.0
US,Macon,-88.97,39.87,56.44,67,90,4.7
PG,Vanimo,141.3,-2.67,84.92,68,91,5.68
UG,Kalangala,32.23,-0.31,71.19,77,66,10.42
US,Freeport,-73.58,40.66,70.09,100,90,9.17
RU,Letka,49.42,59.6,46.04,90,100,3.65
RU,Srednekolymsk,153.68,67.45,44.89,85,97,6.62
BR,Tucumã,-50.05,-0.18,79.79,81,87,8.43
US,Mandan,-100.89,46.83,65.73,45,75,16.11
BR,Maceió,-35.74,-9.67,71.6,88,27,3.36
RU,Provideniya,-173.3,64.38,44.6,70,90,4.47
FR,Saint-François,3.91,46.42,50.45,93,79,3.36
BR,Jacareacanga,-57.75,-6.22,79.95,61,75,0.72
PG,Lorengau,147.27,-2.02,85.14,70,66,9.82
KE,Migori,34.47,-1.06,61.74,79,65,5.39
GR,Messíni,22.01,37.05,63.59,87,20,8.66
PL,Płock,19.71,52.55,53.6,100,99,4.7
RU,Vereshchagino,54.66,58.08,45.12,91,32,0.65
MX,La Reforma,-91.02,18.1,76.78,91,20,13.0
US,Great Bend,-98.76,38.36,71.96,25,85,7.31
MA,Nador,-2.93,35.17,68.29,83,75,3.36
AU,Sawtell,153.1,-30.38,67.21,52,40,11.41
AU,Yeppoon,150.73,-23.13,77.0,41,15,9.17
RU,Novoagansk,76.66,61.94,38.7,93,100,11.7
IS,Olafsvik,-23.71,64.89,40.62,83,83,9.95
HT,Les Cayes,-73.75,18.2,81.16,79,27,9.08
JP,Iwanai,140.51,42.97,66.31,67,100,2.06
IN,Kothāpet,79.48,19.33,74.7,90,79,5.01
BR,Rubiataba,-49.8,-15.16,83.53,17,0,2.53
US,Makaha,-158.22,21.47,88.23,29,1,3.36
CL,Calama,-68.93,-22.47,62.6,17,2,10.29
RU,Magistral'nyy,107.45,56.17,39.2,93,98,2.95
RU,Vanavara,102.28,60.34,26.58,95,0,3.94
IL,Kiryat Gat,34.76,31.61,75.99,85,0,2.46
SE,Köping,15.99,59.51,53.76,93,90,3.47
AU,Nelson Bay,152.15,-32.72,66.42,59,100,6.93
BB,Bathsheba,-59.52,13.22,82.4,83,75,20.8
US,Russell,-85.2,32.35,59.29,93,40,2.91
US,Elmira,-76.81,42.09,52.86,93,90,3.36
US,Pecos,-103.49,31.42,78.8,14,1,4.45
AR,San Juan,-68.54,-31.54,70.14,16,0,7.63
ES,Mahon,4.27,39.89,60.8,87,0,1.12
CN,Shiyan,110.78,32.65,65.25,83,27,3.49
MX,Cabo San Lucas,-109.91,22.89,89.13,58,5,6.93
LY,Benghazi,20.07,32.12,74.28,74,0,14.29
RU,Ust-Kuyga,135.6,70.02,37.71,80,77,9.95
GB,Glenluce,-4.81,54.88,54.0,87,73,5.99
US,Fresno,-119.83,36.67,99.28,11,1,4.7
US,Juneau,-134.42,58.3,50.0,81,90,9.17
IT,Monserrato,9.14,39.26,62.15,93,0,5.82
CN,Rizhao,119.46,35.43,63.54,62,0,14.47
PE,Sechura,-80.82,-5.56,64.89,74,27,15.43
PH,Balud,123.7,10.15,86.0,74,40,2.24
BR,Cacoal,-61.45,-11.44,80.58,65,65,0.67
ES,Arroyo de la Encomienda,-4.8,41.61,51.8,57,19,2.24
NP,Kirtipur,85.28,27.67,69.8,94,75,2.24
ID,Sibolga,98.78,1.74,77.05,72,35,3.42
PG,Aitape,142.35,-3.14,84.07,72,94,4.83
RU,Rybnaya Sloboda,50.14,55.46,42.8,81,100,6.26
CN,Yangjiang,111.97,21.85,79.54,88,76,4.36
DE,Templin,13.5,53.12,50.47,79,25,1.21
VN,Tuy Hoa,109.3,13.08,80.26,76,100,12.57
MR,Nouadhibou,-17.03,20.93,71.6,73,0,18.34
AU,Flinders,150.86,-34.58,64.0,67,100,15.01
RU,Aykhal,111.5,66.0,23.0,92,90,4.47
KE,Namanga,36.79,-2.54,66.88,75,93,6.4
ID,Sorong,131.25,-0.88,77.68,82,100,4.05
US,Lincoln,-96.67,40.8,74.97,22,1,8.05
AU,Bundaberg,152.35,-24.85,75.2,50,75,13.87
IN,Āmli,73.02,20.28,73.11,85,31,3.27
GB,Edinburgh,-3.2,55.95,46.35,87,51,1.12
NZ,Te Anau,167.72,-45.42,43.09,81,39,2.55
BW,Mokobeng,27.67,-23.0,64.72,81,0,10.36
